"AuthorID","WorkID"
0,0
847,3184
848,3185
849,3186
849,3198
849,3199
849,3200
849,3201
849,3205
849,3209
849,3393
849,3394
849,6420
850,3187
851,3188
852,3189
853,3190
853,3191
853,3192
854,3193
854,3194
854,3600
855,3195
855,4387
855,4393
855,4394
855,4441
855,4442
855,4443
855,4566
855,4584
855,4614
855,4757
855,4792
855,4852
855,6269
856,3196
856,3223
856,4104
856,4107
856,4151
856,4160
856,4161
856,4164
856,4165
856,4185
856,4198
856,4208
856,4209
856,4237
856,4242
856,4247
856,4396
856,4501
856,4505
856,4525
856,4526
856,4529
856,4530
856,4545
856,4547
856,4577
856,4583
856,4727
856,5468
856,6330
857,3197
857,3337
857,3338
857,3347
857,3356
857,5521
857,5522
857,5524
857,5525
857,5544
857,5558
857,5559
857,5560
857,5561
857,5562
857,5563
857,5564
857,5565
857,5566
857,5567
857,5568
857,5578
857,5614
857,5615
857,5646
857,5683
857,5684
857,5707
857,5708
857,5715
857,5748
857,5749
857,5778
857,5971
857,5972
857,5973
857,5974
857,5987
857,5988
857,5989
857,5990
857,5991
857,5992
857,5993
857,5994
857,5995
857,6164
857,6165
857,6166
857,6244
857,6275
857,6369
857,6370
858,3202
859,3203
859,3268
859,3882
859,3883
859,3954
859,4026
859,4027
859,4028
859,4044
859,4105
859,4106
859,4253
859,4262
859,4289
859,4290
859,4334
859,4665
859,4666
859,4686
859,6379
859,6380
859,6381
859,6382
859,6385
860,3204
860,3572
861,3206
861,3229
861,3252
861,3271
861,3309
861,3310
861,5434
861,5435
861,6366
861,6367
861,6423
862,3278
862,5070
862,5530
862,6451
862,6482
862,6495
863,3208
864,3210
864,3415
865,3211
865,3280
865,3405
865,3489
866,3212
866,3263
866,3289
866,3335
866,3336
866,3339
866,3351
866,3373
866,3376
866,5497
866,5509
866,5518
866,5594
866,5595
866,5600
866,5648
866,6496
867,3213
867,3262
867,3317
867,3407
868,3214
868,3281
868,3322
868,3377
868,3626
868,3633
868,3635
868,3676
868,3677
868,3689
868,3710
868,3720
868,3745
868,3800
868,3809
868,3812
868,3813
868,3815
868,3829
868,3831
868,3889
868,3898
868,3957
868,3972
868,4251
868,6481
868,6485
869,3215
869,3226
869,3269
869,3284
869,3293
869,3319
869,3342
869,3374
869,6352
870,3216
870,3380
870,5247
870,5248
870,5249
870,5258
870,5261
870,6000
870,6001
870,6163
871,3217
871,3225
871,3231
871,3240
871,3249
871,3250
871,3253
871,3265
871,3266
871,3357
871,3358
871,3359
871,3360
871,3361
871,3368
871,3375
871,3409
871,5470
871,5545
871,5584
871,5618
871,6094
871,6145
871,6146
871,6213
871,6281
871,6282
871,6283
871,6284
871,6285
871,6286
871,6287
871,6288
871,6289
871,6290
871,6291
871,6376
872,3218
872,3227
872,3259
872,3260
872,3267
872,3321
872,3323
872,3324
872,3325
872,3383
872,4850
872,5059
872,5060
872,5061
873,3219
873,3230
873,3234
873,3235
873,3236
873,3237
873,3238
873,3239
873,3270
873,3272
873,3273
873,3274
873,3286
873,3287
873,3288
873,3291
873,3295
873,3296
873,3297
873,3298
873,3299
873,3300
873,3301
873,3302
873,3303
873,3305
873,3306
873,3307
873,3308
873,3330
873,3331
873,3340
873,3341
873,3352
873,3354
873,3367
873,3371
873,3381
873,3382
873,3386
873,4616
873,4617
873,4618
873,4619
873,4620
873,4621
873,4622
873,4623
873,4633
873,4635
873,4636
873,4637
873,4638
873,4640
873,4641
873,4643
873,4645
873,4652
873,4653
873,4656
873,4674
873,4676
873,4683
873,4705
873,4706
873,4755
873,4756
873,4770
873,4771
873,4772
873,4780
873,4781
873,4817
873,4818
873,4822
873,4823
873,4825
873,4826
873,4827
873,4828
873,4829
873,4830
873,4831
873,4832
873,4833
873,4834
873,4835
873,4838
873,4839
873,4840
873,4842
873,4843
873,4844
873,4847
873,5019
873,5072
873,5077
873,5115
873,5116
873,5117
873,5118
873,5119
873,5120
873,5126
873,5127
873,5128
873,5129
873,5130
873,5131
873,5132
873,5133
873,5134
873,5135
873,5136
873,5137
873,5138
873,5139
873,5140
873,5141
873,5142
873,5143
873,5144
873,5145
873,5146
873,5147
873,5148
873,5149
873,5150
873,5151
873,5152
873,5153
873,5154
873,5155
873,5156
873,5157
873,5158
873,5160
873,5161
873,5162
873,5163
873,5167
873,5170
873,5171
873,5172
873,5176
873,5177
873,5178
873,5179
873,5180
873,5272
873,5274
873,5275
873,5276
